iter	RMSE
0	14.10519859
1	13.33157564
2	12.48416925
3	11.73599791
4	11.1321611
5	10.65855904
6	10.12499011
7	9.672609067
8	9.224992325
9	8.871099641
10	8.499652507
11	8.197921653
12	7.937484994
13	7.667463853
14	7.453933309
15	7.247117122
16	7.078086897
17	6.939886454
18	6.815121277
19	6.711609315
20	6.564957148
21	6.447381904
22	6.345387912
23	6.270884701
24	6.177598512
25	6.120447926
26	6.072934112
27	6.02358528
28	5.968433599
29	5.930090667
30	5.881139922
31	5.851609238
32	5.804439237
33	5.771035124
34	5.729989288
35	5.698232194
36	5.665319953
37	5.647738612
38	5.622978219
39	5.587526175
40	5.576581681
41	5.554284688
42	5.535075969
43	5.515490162
44	5.491977023
45	5.475883942
46	5.459676585
47	5.445564533
48	5.427272455
49	5.415656923
50	5.401523465
51	5.388571711
52	5.382324573
53	5.369421102
54	5.355178559
55	5.348616556
56	5.339779458
57	5.326951182
58	5.319049276
59	5.309782084
60	5.302717838
61	5.297240733
62	5.290577789
63	5.283963419
64	5.276630783
65	5.272154242
66	5.261569393
67	5.258344581
68	5.246227643
69	5.235085161
70	5.228561784
71	5.222693014
72	5.217977346
73	5.216891353
74	5.213814136
75	5.207449654
76	5.193257339
77	5.188456023
78	5.185486303
79	5.178192543
80	5.172800251
81	5.168513935
82	5.163407994
83	5.162647317
84	5.159007056
85	5.153158746
86	5.148742855
87	5.143982578
88	5.139516063
89	5.134913057
90	5.126282508
91	5.12025947
92	5.11178519
93	5.10895891
94	5.100323416
95	5.090529428
96	5.083867297
97	5.081706115
98	5.078005769
99	5.076164346
