iter	Passed	Remaining
0	135	13389
1	138	6786
2	141	4577
3	144	3465
4	147	2798
5	150	2352
6	152	2029
7	155	1785
8	157	1595
9	160	1442
10	162	1317
11	165	1214
12	168	1127
13	170	1050
14	173	985
15	176	927
16	179	874
17	181	824
18	182	779
19	184	738
20	185	698
21	187	663
22	188	630
23	189	600
24	190	572
25	191	546
26	192	521
27	193	498
28	194	477
29	195	456
30	196	438
31	197	419
32	198	402
33	199	386
34	200	371
35	200	357
36	201	343
37	202	330
38	203	318
39	204	306
40	204	294
41	205	283
42	206	273
43	206	263
44	207	253
45	208	244
46	208	235
47	209	227
48	210	218
49	210	210
50	211	203
51	212	195
52	212	188
53	213	181
54	214	175
55	214	168
56	215	162
57	215	156
58	216	150
59	216	144
60	217	139
61	217	133
62	218	128
63	219	123
64	219	118
65	220	113
66	220	108
67	221	104
68	221	99
69	222	95
70	222	90
71	223	86
72	223	82
73	223	78
74	224	74
75	224	71
76	225	67
77	225	63
78	226	60
79	226	56
80	227	53
81	227	49
82	228	46
83	228	43
84	229	40
85	229	37
86	230	34
87	230	31
88	231	28
89	231	25
90	232	22
91	232	20
92	233	17
93	233	14
94	233	12
95	234	9
96	234	7
97	235	4
98	235	2
99	236	0
